entity_type,country_code,account_currency,payment_method,local_clearing_system
PERSONAL,AD,HKD,SWIFT,
COMPANY,AD,HKD,SWIFT,
PERSONAL,DE,CHF,SWIFT,
COMPANY,DE,CHF,SWIFT,
PERSONAL,DK,AUD,SWIFT,
COMPANY,DK,AUD,SWIFT,
PERSONAL,GE,USD,SWIFT,
COMPANY,GE,USD,SWIFT,
PERSONAL,HK,JPY,SWIFT,
COMPANY,HK,JPY,SWIFT,
PERSONAL,HK,SGD,SWIFT,
COMPANY,HK,SGD,SWIFT,
PERSONAL,IL,CAD,SWIFT,
COMPANY,IL,CAD,SWIFT,
PERSONAL,IL,CHF,SWIFT,
COMPANY,IL,CHF,SWIFT,
PERSONAL,KR,CAD,SWIFT,
COMPANY,KR,CAD,SWIFT,
PERSONAL,KR,JPY,SWIFT,
COMPANY,KR,JPY,SWIFT,
PERSONAL,KR,SGD,SWIFT,
PERSONAL,KR,SGD,SWIFT,
COMPANY,KR,KRW,LOCAL,
PERSONAL,KR,KRW,LOCAL,
PERSONAL,KW,CHF,SWIFT,
COMPANY,KW,CHF,SWIFT,
PERSONAL,LK,AUD,SWIFT,
COMPANY,LK,AUD,SWIFT,
PERSONAL,MK,AUD,SWIFT,
COMPANY,MK,AUD,SWIFT,
PERSONAL,MK,USD,SWIFT,
COMPANY,MK,USD,SWIFT,
PERSONAL,NL,CHF,SWIFT,
COMPANY,NL,CHF,SWIFT,
PERSONAL,PF,NZD,SWIFT,
COMPANY,PF,NZD,SWIFT,
PERSONAL,PH,AUD,SWIFT,
COMPANY,PH,AUD,SWIFT,
PERSONAL,PL,HKD,SWIFT,
COMPANY,PL,HKD,SWIFT,
PERSONAL,PM,SGD,SWIFT,
COMPANY,PM,SGD,SWIFT,
PERSONAL,SA,SGD,SWIFT,
COMPANY,SA,SGD,SWIFT,
PERSONAL,SC,SGD,SWIFT,
COMPANY,SC,SGD,SWIFT,
PERSONAL,TR,AUD,SWIFT,
COMPANY,TR,AUD,SWIFT,
PERSONAL,TW,CNY,SWIFT,
COMPANY,TW,CNY,SWIFT,
PERSONAL,UA,CAD,SWIFT,
COMPANY,UA,CAD,SWIFT,
PERSONAL,UA,NZD,SWIFT,
COMPANY,UA,NZD,SWIFT,
PERSONAL,UG,GBP,SWIFT,
COMPANY,UG,GBP,SWIFT,
PERSONAL,VU,GBP,SWIFT,
COMPANY,VU,GBP,SWIFT,
PERSONAL,VU,THB,SWIFT,
COMPANY,VU,THB,SWIFT,
PERSONAL,YT,HKD,SWIFT,
COMPANY,YT,HKD,SWIFT,
PERSONAL,ZA,AUD,SWIFT,
COMPANY,ZA,AUD,SWIFT,
PERSONAL,ZM,USD,SWIFT,
COMPANY,ZM,USD,SWIFT,
PERSONAL,AE,CHF,SWIFT,
COMPANY,AE,CHF,SWIFT,
PERSONAL,AO,GBP,SWIFT,
COMPANY,AO,GBP,SWIFT,
PERSONAL,AR,EUR,SWIFT,
COMPANY,AR,EUR,SWIFT,
PERSONAL,AT,AUD,SWIFT,
COMPANY,AT,AUD,SWIFT,
PERSONAL,AT,JPY,SWIFT,
COMPANY,AT,JPY,SWIFT,
PERSONAL,AT,SGD,SWIFT,
COMPANY,AT,SGD,SWIFT,
PERSONAL,BE,EUR,LOCAL,
PERSONAL,BE,EUR,SWIFT,
COMPANY,BE,EUR,LOCAL,
COMPANY,BE,EUR,SWIFT,
PERSONAL,CN,AUD,SWIFT,
COMPANY,CN,AUD,SWIFT,
PERSONAL,CZ,CNY,SWIFT,
COMPANY,CZ,CNY,SWIFT,
PERSONAL,DE,CAD,SWIFT,
COMPANY,DE,CAD,SWIFT,
PERSONAL,DM,CNY,SWIFT,
COMPANY,DM,CNY,SWIFT,
PERSONAL,EC,CNY,SWIFT,
COMPANY,EC,CNY,SWIFT,
PERSONAL,EC,JPY,SWIFT,
COMPANY,EC,JPY,SWIFT,
PERSONAL,ES,USD,SWIFT,
COMPANY,ES,USD,SWIFT,
PERSONAL,FI,CNY,SWIFT,
COMPANY,FI,CNY,SWIFT,
PERSONAL,FJ,HKD,SWIFT,
COMPANY,FJ,HKD,SWIFT,
PERSONAL,FR,HKD,SWIFT,
COMPANY,FR,HKD,SWIFT,
PERSONAL,GR,THB,SWIFT,
COMPANY,GR,THB,SWIFT,
PERSONAL,HR,EUR,LOCAL SWIFT,
COMPANY,HR,EUR,LOCAL SWIFT,
PERSONAL,KZ,CNY,SWIFT,
COMPANY,KZ,CNY,SWIFT,
PERSONAL,LT,EUR,LOCAL SWIFT,
COMPANY,LT,EUR,LOCAL SWIFT,
PERSONAL,LV,JPY,SWIFT,
COMPANY,LV,JPY,SWIFT,
PERSONAL,MA,JPY,SWIFT,
COMPANY,MA,JPY,SWIFT,
PERSONAL,MA,CHF,SWIFT,
COMPANY,MA,CHF,SWIFT,
PERSONAL,MQ,EUR,LOCAL SWIFT,
COMPANY,MQ,EUR,LOCAL SWIFT,
PERSONAL,NL,SGD,SWIFT,
COMPANY,NL,SGD,SWIFT,
PERSONAL,SI,AUD,SWIFT,
COMPANY,SI,AUD,SWIFT,
PERSONAL,SI,EUR,LOCAL SWIFT,
COMPANY,SI,EUR,LOCAL SWIFT,
PERSONAL,SK,EUR,LOCAL SWIFT,
COMPANY,SK,EUR,LOCAL SWIFT,
PERSONAL,VN,CAD,SWIFT,
COMPANY,VN,CAD,SWIFT,
PERSONAL,AU,JPY,SWIFT,
COMPANY,AU,JPY,SWIFT,
PERSONAL,BO,THB,SWIFT,
COMPANY,BO,THB,SWIFT,
PERSONAL,BR,NZD,SWIFT,
COMPANY,BR,NZD,SWIFT,
PERSONAL,CN,THB,SWIFT,
COMPANY,CN,THB,SWIFT,
PERSONAL,DE,AUD,SWIFT,
COMPANY,DE,AUD,SWIFT,
PERSONAL,DE,JPY,SWIFT,
COMPANY,DE,JPY,SWIFT,
PERSONAL,EG,JPY,SWIFT,
COMPANY,EG,JPY,SWIFT,
PERSONAL,GR,GBP,SWIFT,
COMPANY,GR,GBP,SWIFT,
PERSONAL,GR,NZD,SWIFT,
COMPANY,GR,NZD,SWIFT,
PERSONAL,GR,CHF,SWIFT,
COMPANY,GR,CHF,SWIFT,
PERSONAL,HR,USD,SWIFT,
COMPANY,HR,USD,SWIFT,
PERSONAL,HU,JPY,SWIFT,
COMPANY,HU,JPY,SWIFT,
PERSONAL,ID,EUR,SWIFT,
COMPANY,ID,EUR,SWIFT,
PERSONAL,IE,NZD,SWIFT,
COMPANY,IE,NZD,SWIFT,
PERSONAL,IM,NZD,SWIFT,
COMPANY,IM,NZD,SWIFT,
PERSONAL,IT,GBP,SWIFT,
COMPANY,IT,GBP,SWIFT,
PERSONAL,JE,HKD,SWIFT,
COMPANY,JE,HKD,SWIFT,
PERSONAL,KG,JPY,SWIFT,
COMPANY,KG,JPY,SWIFT,
PERSONAL,MD,HKD,SWIFT,
COMPANY,MD,HKD,SWIFT,
PERSONAL,MD,NZD,SWIFT,
COMPANY,MD,NZD,SWIFT,
PERSONAL,ME,AUD,SWIFT,
COMPANY,ME,AUD,SWIFT,
PERSONAL,MK,HKD,SWIFT,
COMPANY,MK,HKD,SWIFT,
PERSONAL,NL,GBP,SWIFT,
COMPANY,NL,GBP,SWIFT,
PERSONAL,NP,GBP,SWIFT,
COMPANY,NP,GBP,SWIFT,
PERSONAL,PE,THB,SWIFT,
COMPANY,PE,THB,SWIFT,
